Metric		Current
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		36
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_GRAPHQL		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_GRAPHQL		18
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		111
LOW_RISK_FILE_SIZE_COUNT		18
MEDIUM_RISK_FILE_SIZE_COUNT		5
HIGH_RISK_FILE_SIZE_COUNT		2
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		4,432
LOW_RISK_FILE_SIZE_LOC		2,657
MEDIUM_RISK_FILE_SIZE_LOC		1,343
HIGH_RISK_FILE_SIZE_LOC		1,170
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		134
LINES_OF_CODE_IN_UNITS		1,940
LINES_OF_CODE_OUTSIDE_UNITS		7,662
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		468
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		24.12
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		84
UNIT_SIZE_LOW_RISK_LOC		424
UNIT_SIZE_LOW_RISK_PERCENTAGE		21.86
UNIT_SIZE_LOW_RISK_COUNT		28
UNIT_SIZE_MEDIUM_RISK_LOC		546
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		28.14
UNIT_SIZE_MEDIUM_RISK_COUNT		16
UNIT_SIZE_HIGH_RISK_LOC		268
UNIT_SIZE_HIGH_RISK_PERCENTAGE		13.81
UNIT_SIZE_HIGH_RISK_COUNT		4
UNIT_SIZE_VERY_HIGH_RISK_LOC		234
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		12.06
UNIT_SIZE_VERY_HIGH_RISK_COUNT		2
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_LOC		32
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_PERCENTAGE		6.07
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_COUNT		6
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_LOC		210
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_PERCENTAGE		39.85
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_COUNT		13
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_LOC		226
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_PERCENTAGE		42.88
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_COUNT		7
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_LOC		59
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_PERCENTAGE		11.2
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_COUNT		1
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_NEGLIGIBLE_RISK_LOC		46
UNIT_SIZE_COMPONENT_CYPRESS_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_CYPRESS_NEGLIGIBLE_RISK_COUNT		9
UNIT_SIZE_COMPONENT_CYPRESS_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		5
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_PERCENTAGE		4.2
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_LOC		63
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_PERCENTAGE		52.94
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_COUNT		2
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_LOC		51
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_PERCENTAGE		42.86
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_COUNT		1
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SCRIPTS_NEGLIGIBLE_RISK_LOC		42
UNIT_SIZE_COMPONENT_SCRIPTS_NEGLIGIBLE_RISK_PERCENTAGE		22.7
UNIT_SIZE_COMPONENT_SCRIPTS_NEGLIGIBLE_RISK_COUNT		7
UNIT_SIZE_COMPONENT_SCRIPTS_LOW_RISK_LOC		108
UNIT_SIZE_COMPONENT_SCRIPTS_LOW_RISK_PERCENTAGE		58.38
UNIT_SIZE_COMPONENT_SCRIPTS_LOW_RISK_COUNT		7
UNIT_SIZE_COMPONENT_SCRIPTS_MEDIUM_RISK_LOC		35
UNIT_SIZE_COMPONENT_SCRIPTS_MEDIUM_RISK_PERCENTAGE		18.92
UNIT_SIZE_COMPONENT_SCRIPTS_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_SCRIPTS_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_SCRIPTS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SCRIPTS_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SCRIPTS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_SCRIPTS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SCRIPTS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SRC_NEGLIGIBLE_RISK_LOC		343
UNIT_SIZE_COMPONENT_SRC_NEGLIGIBLE_RISK_PERCENTAGE		32.27
UNIT_SIZE_COMPONENT_SRC_NEGLIGIBLE_RISK_COUNT		60
UNIT_SIZE_COMPONENT_SRC_LOW_RISK_LOC		106
UNIT_SIZE_COMPONENT_SRC_LOW_RISK_PERCENTAGE		9.97
UNIT_SIZE_COMPONENT_SRC_LOW_RISK_COUNT		8
UNIT_SIZE_COMPONENT_SRC_MEDIUM_RISK_LOC		222
UNIT_SIZE_COMPONENT_SRC_MEDIUM_RISK_PERCENTAGE		20.88
UNIT_SIZE_COMPONENT_SRC_MEDIUM_RISK_COUNT		6
UNIT_SIZE_COMPONENT_SRC_HIGH_RISK_LOC		158
UNIT_SIZE_COMPONENT_SRC_HIGH_RISK_PERCENTAGE		14.86
UNIT_SIZE_COMPONENT_SRC_HIGH_RISK_COUNT		2
UNIT_SIZE_COMPONENT_SRC_VERY_HIGH_RISK_LOC		234
UNIT_SIZE_COMPONENT_SRC_VERY_HIGH_RISK_PERCENTAGE		22.01
UNIT_SIZE_COMPONENT_SRC_VERY_HIGH_RISK_COUNT		2
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_LOC		330
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_PERCENTAGE		29.36
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_COUNT		63
UNIT_SIZE_EXTENSION_TS_LOW_RISK_LOC		360
UNIT_SIZE_EXTENSION_TS_LOW_RISK_PERCENTAGE		32.03
UNIT_SIZE_EXTENSION_TS_LOW_RISK_COUNT		23
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_LOC		324
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_PERCENTAGE		28.83
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_COUNT		10
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_LOC		110
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_PERCENTAGE		9.79
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_COUNT		2
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_LOC		129
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_PERCENTAGE		15.99
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_COUNT		20
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_LOC		64
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_PERCENTAGE		7.93
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_COUNT		5
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_LOC		222
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_PERCENTAGE		27.51
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_COUNT		6
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_LOC		158
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_PERCENTAGE		19.58
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_COUNT		2
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_LOC		234
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_PERCENTAGE		29
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_COUNT		2
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		9
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		1
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		1,845
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		95.1
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		132
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		95
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		4.9
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_NEGLIGIBLE_RISK_LOC		527
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_NEGLIGIBLE_RISK_COUNT		27
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_NEGLIGIBLE_RISK_LOC		46
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_NEGLIGIBLE_RISK_COUNT		9
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		119
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_COUNT		5
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_SCRIPTS_NEGLIGIBLE_RISK_LOC		185
CONDITIONAL_COMPLEXITY_COMPONENT_SCRIPTS_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_SCRIPTS_NEGLIGIBLE_RISK_COUNT		15
CONDITIONAL_COMPLEXITY_COMPONENT_SCRIPTS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SCRIPTS_LOW_RISK_PERCENTAGE		0
