Metric		Current
CONDITIONAL_COMPLEXITY_COMPONENT_TS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_NEGLIGIBLE_RISK_LOC		712
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_NEGLIGIBLE_RISK_PERCENTAGE		88.23
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_NEGLIGIBLE_RISK_COUNT		33
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_LOW_RISK_LOC		95
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_LOW_RISK_PERCENTAGE		11.77
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_LOW_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		9
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATES		359
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		60
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		1,404
DUPLICATION_NUMBER_OF_CLEANED_LINES		8,697
DUPLICATION_PERCENTAGE		16.14
UNIT_DUPLICATES_COUNT		1
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SRC		1,217
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SRC		1,217
DUPLICATION_PERCENTAGE_PRIMARY_SRC		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_BACKEND		109
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_BACKEND		109
DUPLICATION_PERCENTAGE_PRIMARY_BACKEND		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ROOT		18
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ROOT		18
DUPLICATION_PERCENTAGE_PRIMARY_ROOT		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SCRIPTS		36
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SCRIPTS		36
DUPLICATION_PERCENTAGE_PRIMARY_SCRIPTS		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_CYPRESS		24
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_CYPRESS		24
DUPLICATION_PERCENTAGE_PRIMARY_CYPRESS		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_TSX		1,092
DUPLICATION_NUMBER_OF_CLEANED_LINES_TSX		4,863
DUPLICATION_PERCENTAGE_TSX		22.46
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_TS		240
DUPLICATION_NUMBER_OF_CLEANED_LINES_TS		3,663
DUPLICATION_PERCENTAGE_TS		6.55
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JS		72
DUPLICATION_NUMBER_OF_CLEANED_LINES_JS		87
DUPLICATION_PERCENTAGE_JS		82.76
TOTAL_ANALYSIS_TIME_IN_MILLIS		26,888
